"thumbborder src","tablescraper-selected-row","tablescraper-selected-row href","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11"
"https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_the_Taliban.svg/23px-Flag_of_the_Taliban.svg.png","Afghanistan","https://en.wikipedia.org/wiki/Afghanistan","15,325","17,890","20,293","20,170","20,616","20,057","18,020","18,883","18,401","18,876"
"https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Flag_of_Albania.svg/21px-Flag_of_Albania.svg.png","Albania","https://en.wikipedia.org/wiki/Albania","11,937","12,899","12,324","12,784","13,246","11,389","11,862","13,053","15,157","15,399"
"https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/23px-Flag_of_Algeria.svg.png","Algeria","https://en.wikipedia.org/wiki/Algeria","161,207","200,020","209,059","209,755","213,810","165,979","160,034","170,207","175,372","171,680"
"https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Andorra.svg/22px-Flag_of_Andorra.svg.png","Andorra","https://en.wikipedia.org/wiki/Andorra","3,446","3,625","3,189","3,193","3,267","2,789","2,895","2,993","3,217","3,155"
"https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Angola.svg/23px-Flag_of_Angola.svg.png","Angola","https://en.wikipedia.org/wiki/Angola","83,799","111,790","128,053","136,710","145,712","116,194","101,124","122,022","101,353","84,516"
"https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_Antigua_and_Barbuda.svg/23px-Flag_of_Antigua_and_Barbuda.svg.png","Antigua and Barbuda","https://en.wikipedia.org/wiki/Antigua_and_Barbuda","1,149","1,138","1,200","1,181","1,250","1,337","1,437","1,468","1,606","1,688"
"https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/23px-Flag_of_Argentina.svg.png","Argentina","https://en.wikipedia.org/wiki/Argentina","424,729","527,644","579,666","611,471","563,614","642,464","556,774","643,861","524,431","451,815"
"https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Armenia.svg/23px-Flag_of_Armenia.svg.png","Armenia","https://en.wikipedia.org/wiki/Armenia","9,260","10,142","10,619","11,121","11,610","10,553","10,546","11,527","12,458","13,619"
"https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Aruba.svg/23px-Flag_of_Aruba.svg.png","Aruba","https://en.wikipedia.org/wiki/Aruba","2,454","2,638","2,615","2,728","2,791","2,963","2,984","3,092","3,202","3,369"
"https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/23px-Flag_of_Australia_%28converted%29.svg.png","Australia","https://en.wikipedia.org/wiki/Australia","1,253,606","1,514,658","1,569,221","1,518,966","1,456,432","1,233,112","1,263,833","1,381,986","1,416,818","1,386,697"
"https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Austria.svg/23px-Flag_of_Austria.svg.png","Austria","https://en.wikipedia.org/wiki/Austria","392,595","431,609","409,661","430,197","442,699","382,010","395,728","417,114","455,374","445,061"
"https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Azerbaijan.svg/23px-Flag_of_Azerbaijan.svg.png","Azerbaijan","https://en.wikipedia.org/wiki/Azerbaijan","52,913","65,990","69,687","74,160","75,240","50,844","37,830","41,375","47,113","48,174"
"https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Flag_of_the_Bahamas.svg/23px-Flag_of_the_Bahamas.svg.png","Bahamas","https://en.wikipedia.org/wiki/The_Bahamas","10,096","10,070","10,720","10,563","11,176","11,862","11,835","12,358","12,756","13,193"
"https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Bahrain.svg/23px-Flag_of_Bahrain.svg.png","Bahrain","https://en.wikipedia.org/wiki/Bahrain","25,713","28,777","30,749","32,539","33,388","31,051","32,235","35,474","37,802","38,653"
"https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Flag_of_Bangladesh.svg/23px-Flag_of_Bangladesh.svg.png","Bangladesh","https://en.wikipedia.org/wiki/Bangladesh","138,094","154,097","159,749","179,676","207,102","233,687","265,236","293,755","321,379","351,238"
"https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Flag_of_Barbados.svg/23px-Flag_of_Barbados.svg.png","Barbados","https://en.wikipedia.org/wiki/Barbados","4,530","4,658","4,610","4,677","4,696","4,715","4,830","4,978","5,087","5,298"
"https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Flag_of_Belarus.svg/23px-Flag_of_Belarus.svg.png","Belarus","https://en.wikipedia.org/wiki/Belarus","57,220","61,368","65,669","75,496","78,736","56,329","47,703","54,723","60,011","64,414"
"https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Belgium_%28civil%29.svg/23px-Flag_of_Belgium_%28civil%29.svg.png","Belgium","https://en.wikipedia.org/wiki/Belgium","481,814","523,239","496,467","521,799","535,529","462,383","475,931","502,587","543,593","535,437"
"https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Flag_of_Belize.svg/23px-Flag_of_Belize.svg.png","Belize","https://en.wikipedia.org/wiki/Belize","1,735","1,814","1,901","2,035","2,139","2,199","2,228","2,263","2,273","2,371"
