,rank,country,population,year
0,46.,Afghanistan,22507460,2001
1,131.,Albania,3128002,2001
2,36.,Algeria,30874308,2001
3,205.,American Samoa,58741,2001
4,202.,Andorra,65316,2001
5,62.,Angola,12997970,2001
6,222.,Anguilla,11774,2001
7,198.,Antigua and Barbuda,76734,2001
8,31.,Argentina,37694168,2001
9,132.,Armenia,3027590,2001
10,194.,Aruba,90971,2001
11,51.,Australia,19294256,2001
12,89.,Austria,8131690,2001
13,85.,Azerbaijan,8532310,2001
14,162.,Bahrain,672086,2001
15,8.,Bangladesh,134477536,2001
16,178.,Barbados,274906,2001
17,78.,Belarus,9999789,2001
18,75.,Belgium,10291679,2001
19,179.,Belize,254639,2001
20,95.,Benin,6839006,2001
21,203.,Bermuda,63606,2001
22,164.,Bhutan,615980,2001
23,87.,Bolivia,8367448,2001
24,119.,Bosnia and Herzegovina,4111293,2001
25,147.,Botswana,1714009,2001
26,5.,Brazil,178869664,2001
27,217.,British Virgin Islands,23203,2001
28,174.,Brunei,332654,2001
29,91.,Bulgaria,7738416,2001
30,66.,Burkina Faso,12039362,2001
31,94.,Burundi,7043021,2001
32,64.,Cambodia,12539614,2001
33,60.,Cameroon,15706855,2001
34,35.,Canada,31376736,2001
35,170.,Cape Verde,438454,2001
36,210.,Cayman Islands,39621,2001
37,120.,Central African Republic,4053927,2001
38,88.,Chad,8179408,2001
39,195.,Channel Islands,87731,2001
40,61.,Chile,15331887,2001
41,1.,China,1270744192,2001
42,29.,Colombia,39312448,2001
43,165.,Comoros,559494,2001
44,220.,Cook Islands,15725,2001
45,122.,Costa Rica,3956208,2001
46,55.,Cote d'Ivoire,17310968,2001
47,115.,Croatia,4439110,2001
48,70.,Cuba,11103821,2001
49,156.,Cyprus,932632,2001
50,76.,Czech Republic,10262308,2001
51,23.,Democratic Republic of the Congo,54057720,2001
52,104.,Denmark,5355826,2001
53,161.,Djibouti,692990,2001
54,201.,Dominica,71208,2001
55,82.,Dominican Republic,8613550,2001
56,157.,East Timor,899679,2001
57,63.,Ecuador,12629117,2001
58,17.,Egypt,66574084,2001
59,100.,El Salvador,5883698,2001
60,166.,Equatorial Guinea,505919,2001
61,116.,Eritrea,4337991,2001
62,149.,Estonia,1369983,2001
63,18.,Ethiopia,66122580,2001
64,208.,Faroe Islands,46590,2001
65,190.,Federated States of Micronesia,107905,2001
66,158.,Fiji,810728,2001
67,106.,Finland,5180309,2001
68,20.,France,61479304,2001
69,180.,French Polynesia,240098,2001
70,151.,Gabon,1269154,2001
71,154.,Gaza Strip,1170822,2001
72,112.,Georgia,4746164,2001
73,13.,Germany,82320656,2001
74,50.,Ghana,20196294,2001
75,214.,Gibraltar,28018,2001
76,73.,Greece,10581515,2001
77,206.,Greenland,57128,2001
78,192.,Grenada,102294,2001
79,185.,Guam,158330,2001
80,69.,Guatemala,11284350,2001
81,204.,Guernsey,62168,2001
82,86.,Guinea,8416924,2001
83,150.,Guinea-Bissau,1306455,2001
84,159.,Guyana,786261,2001
85,84.,Haiti,8568578,2001
86,97.,Honduras,6526981,2001
87,96.,Hong Kong,6713376,2001
88,77.,Hungary,10129929,2001
89,177.,Iceland,284812,2001
