,year,rank,population,per_capita-Meningitis,per_capita-Alzheimer's Disease and Other Dementias,per_capita-Parkinson's Disease,per_capita-Nutritional Deficiencies,per_capita-Malaria,per_capita-Drowning,per_capita-Interpersonal Violence,per_capita-Maternal Disorders,per_capita-HIV/AIDS,per_capita-Drug Use Disorders,per_capita-Tuberculosis,per_capita-Cardiovascular Diseases,per_capita-Lower Respiratory Infections,per_capita-Neonatal Disorders,per_capita-Alcohol Use Disorders,per_capita-Self-harm,per_capita-Exposure to Forces of Nature,per_capita-Diarrheal Diseases,per_capita-Environmental Heat and Cold Exposure,per_capita-Neoplasms,per_capita-Conflict and Terrorism,per_capita-Diabetes Mellitus,per_capita-Chronic Kidney Disease,per_capita-Poisonings,per_capita-Protein-Energy Malnutrition,per_capita-Road Injuries,per_capita-Chronic Respiratory Diseases,per_capita-Cirrhosis and Other Chronic Liver Diseases,per_capita-Digestive Diseases,"per_capita-Fire, Heat, and Hot Substances",per_capita-Acute Hepatitis,gdp,gdp/percap
year,1.0,0.0006423903138080128,0.01663167346220421,-0.13487372505656808,0.16310154210961939,0.15144232840333735,-0.1334449089861641,-0.09620723991210728,-0.16940997226599588,-0.021012929868535122,-0.0984975678382387,-0.10818531908921689,0.027237008987781666,-0.10840901757956374,0.013557504277905431,-0.12862685828563997,-0.150695013392724,-0.011045206989069675,-0.056341835480524446,-0.001551441043282929,-0.14364462700025563,-0.06332936308104656,0.09147357110560697,0.006362189908176053,0.07687271873744578,0.20742200660398893,-0.12966011897450122,-0.13152095499614447,-0.10519522814309368,0.009160343960176532,-0.005770235753891848,0.013374557906987912,-0.09078824415532984,-0.14467300503739042,0.09409059366058971,0.15123048852448856
rank,0.0006423903138080128,1.0,-0.3467436898669829,-0.14329707589438842,0.0104298456770215,0.1427173172533287,-0.09954332754245088,-0.11762348846760357,0.20750685216163,-0.012514897052114204,-0.12255812495039686,-0.053358024878235606,-0.06589683708412297,-0.13778835159243105,0.06357086915366482,-0.08581673469314442,-0.19260208324308337,0.024139538801910016,0.13916686720085047,-0.005974258608926632,-0.14458059608464988,-0.04790061466949967,0.13609268123543655,-0.08227861882293377,0.42889505018589913,0.3044309184535764,-0.21637735648764156,-0.09447162856103912,-0.07108892020134763,-0.014621422384072831,-0.13080554702203917,-0.09306337434228862,0.0031171764608500744,-0.17820996671647032,-0.3643765242700661,0.11786714657930504
population,0.01663167346220421,-0.3467436898669829,1.0,-0.025418914448215705,-0.032472795464545755,-0.042747287903096946,-0.029438873109618523,-0.038858677479068876,0.026063963930248863,-0.04098270117517849,-0.023481942480811775,-0.042760154878170385,-0.003633391451045921,0.020949756278450957,-0.02186680443171219,-0.051734656793548175,0.011126146355200645,-0.0273202594806298,0.004469080343376668,-0.0018843053594868307,0.02095105344594663,-0.0011172173476308516,-0.02932171713767605,-0.011965683156297868,-0.09749134127650017,-0.08369059514691331,0.03234407256572427,-0.03557560684704197,0.013940094021173906,0.2736697281821958,-0.0031241218389742977,-0.01934371449750278,-0.03131825494935843,0.10964069587121332,0.5879085337491686,-0.07152652385688137
per_capita-Meningitis,-0.13487372505656808,-0.14329707589438842,-0.025418914448215705,1.0,-0.3744487830586299,-0.40175403705675805,0.6259338766509347,0.8002534483794322,0.12262336368310368,0.03604776050132604,0.8377696979138333,0.3112178872547781,-0.23741986128497267,0.6542780182463206,-0.3271472903224249,0.8167907021708491,0.8555153815647176,-0.19990733203038052,-0.16666379089605413,0.010162946693044215,0.8903302558602187,-0.01876987068625722,-0.38338557718352867,0.0764913982999691,-0.14393608307735115,-0.22062563548296812,0.5141364399876902,0.621317512621973,0.1698587806497845,-0.17727966457252592,0.06102038302321111,0.041059736189210785,0.1615294781929908,0.6030616592572517,-0.13688455677836214,-0.3029622006610457
per_capita-Alzheimer's Disease and Other Dementias,0.16310154210961939,0.0104298456770215,-0.032472795464545755,-0.3744487830586299,1.0,0.9115989578745117,-0.27925792509313435,-0.2975574162037602,-0.3178602216282761,-0.18528697797582372,-0.47583561800625596,-0.24004876347849669,0.3711052598612334,-0.41756637691249254,0.4964109552031424,-0.270559863811104,-0.5391722737463485,0.25451330978723413,0.24437375306327153,-0.015558479083605218,-0.394754682569275,0.09280182386326172,0.8846187728887205,-0.09556454767462946,-0.013974744066113636,0.18775298384361339,-0.3037918507165201,-0.2750345993909544,-0.4181834050422307,0.29283219549226613,0.029151499737347382,0.3103399375277315,-0.13329196962852968,-0.37727896682840767,0.38711284116623634,0.6100856243851154
per_capita-Parkinson's Disease,0.15144232840333735,0.1427173172533287,-0.042747287903096946,-0.40175403705675805,0.9115989578745117,1.0,-0.2998006882644309,-0.32380948289239164,-0.23373189476690137,-0.21776154811354712,-0.4985594960726526,-0.2686861607712042,0.36597902473610444,-0.44293458307666367,0.5895123279873828,-0.2811714758151182,-0.57064381584073,0.2522719322143942,0.2907453138368843,-0.013420537758279408,-0.41772557648777486,0.07096265996623054,0.9198791791085505,-0.10842278531858904,0.14531982975788463,0.28181486280494006,-0.3269657785948997,-0.29533971702315126,-0.40530349146854994,0.4034818369668263,0.02395700238160367,0.32640806954062107,-0.105724092294199,-0.39225989902222974,0.30005166651585896,0.5812461510097313
per_capita-Nutritional Deficiencies,-0.1334449089861641,-0.09954332754245088,-0.029438873109618523,0.6259338766509347,-0.27925792509313435,-0.2998006882644309,1.0,0.4450323269248787,0.14425206369837204,0.09206015467453477,0.6220958474308647,0.2235619858355584,-0.18245678754081882,0.5999282490934874,-0.24842772328979787,0.5869565094791392,0.6209772163520867,-0.13342412068714474,-0.11022204796547551,0.003922978044103659,0.6022749404403197,-0.026747875196825276,-0.2706410389552343,0.10185281023553211,-0.08490176070415642,-0.1344088310311536,0.39512783214642333,0.9996324500785088,0.17078758684590065,-0.05907870998282461,0.0635915494685783,0.053907153158678674,0.11315968520316565,0.496657917237286,-0.11708745803672009,-0.26799382748992073
per_capita-Malaria,-0.09620723991210728,-0.11762348846760357,-0.038858677479068876,0.8002534483794322,-0.2975574162037602,-0.32380948289239164,0.4450323269248787,1.0,0.035151814238790616,-0.0602150752693319,0.6856650274328715,0.2897231090679764,-0.20182778227070333,0.4688019432045332,-0.28794277623010184,0.6519236780249131,0.7310668842965437,-0.17840243550492046,-0.17291957430416757,-0.001716416009559558,0.668476400476818,-0.038198301539474476,-0.32232699756246924,0.08086567778887167,-0.15854479103196076,-0.20261578807686453,0.3987952142239881,0.44228746407259173,0.15001098531539925,-0.21042638268319194,0.01613601479757595,-0.004485948256086705,0.10707446930926656,0.3932316722691012,-0.11004742122815304,-0.22533212076162676
per_capita-Drowning,-0.16940997226599588,0.20750685216163,0.026063963930248863,0.12262336368310368,-0.3178602216282761,-0.23373189476690137,0.14425206369837204,0.035151814238790616,1.0,0.18132050494588833,0.21064613567479432,0.020394381618778573,-0.0981176019394577,0.1823388440642056,0.12744449740091698,0.27171584794212367,0.17176237809863892,0.1865715638402972,0.317228885652317,0.05271808664993721,0.13757429845457178,0.2851318715492301,-0.19383072938620785,-0.019954740156564392,0.22124378217662677,0.06813927044478364,0.3643663231237503,0.1416280587050062,0.24341377230943514,0.1814534422608529,0.1996284822680594,0.1379774635024018,0.22224929467469323,0.18234454419630858,-0.11483200783195674,-0.38325510800109036
per_capita-Interpersonal Violence,-0.021012929868535122,-0.012514897052114204,-0.04098270117517849,0.03604776050132604,-0.18528697797582372,-0.21776154811354712,0.09206015467453477,-0.0602150752693319,0.18132050494588833,1.0,0.08412916295495693,0.24575309815680343,-0.09023981827593291,0.13191585272362247,-0.10212122181359826,0.08859116651808892,0.09205573479192691,0.21731292276281158,0.06978124032706631,0.034313404018511934,0.0623223832204931,0.10722813960610261,-0.19185215667823202,-0.004546291247325289,0.13306885303043547,0.22592787372651502,0.12107458767322005,0.09142162869222598,0.15863516884869577,-0.12411703279968755,0.029716443398573756,0.05800541138386118,0.11110931035539694,-0.020774478848635262,-0.10408616367851328,-0.2526608809873176
